STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,COMMODITY,Commodity,MEASURE,Measure,UNIT_MEASURE,Unit of measure,VERSION_ID,Version ID,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVENTION,Agricultural convention
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0143,Cottonseed,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2028,,6.03,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0143,Cottonseed,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2029,,5.99,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0143,Cottonseed,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2030,,5.96,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0143,Cottonseed,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2031,,5.93,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0143,Cottonseed,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2032,,5.9,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0143,Cottonseed,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2010,,7.42,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0143,Cottonseed,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2011,,16.6,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0143,Cottonseed,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2012,,15,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0143,Cottonseed,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2013,,11.55,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0143,Cottonseed,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2014,,13.8,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0143,Cottonseed,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2015,,16.91,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0143,Cottonseed,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2016,,13.7,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0143,Cottonseed,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2017,,12.6,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2019,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2020,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2021,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2022,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2023,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2024,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2025,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2026,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2027,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2028,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2029,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2030,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2031,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2032,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2010,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2011,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2012,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2013,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2014,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2015,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2016,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2017,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2018,,0,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,QP,Production,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2018,,71,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,QP,Production,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2019,,85,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,QP,Production,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2020,,90,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,QP,Production,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2021,,85,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,QP,Production,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2022,,81,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,QP,Production,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2023,,80.53,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,QP,Production,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2024,,77.01,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,QP,Production,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2025,,76.24,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,QP,Production,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2026,,76.2,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,QP,Production,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2027,,76.63,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,QP,Production,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2028,,76.61,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,QP,Production,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2029,,76.37,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,QP,Production,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2030,,76.11,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,QP,Production,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2031,,75.87,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,QP,Production,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2032,,75.68,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,QP,Production,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2010,,112,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,QP,Production,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2011,,142,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,QP,Production,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2012,,222,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,QP,Production,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2013,,178,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,QP,Production,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2014,,140,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,QP,Production,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2015,,173,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,QP,Production,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2016,,168,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0111,Wheat,QP,Production,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2017,,72,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0151T0155,Roots and tubers,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2018,,50.54,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0151T0155,Roots and tubers,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2019,,50.5,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0151T0155,Roots and tubers,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2020,,50.45,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0151T0155,Roots and tubers,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2021,,50.4,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0151T0155,Roots and tubers,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2022,,50.34,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0151T0155,Roots and tubers,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2023,,51.02,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0151T0155,Roots and tubers,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2024,,51.51,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0151T0155,Roots and tubers,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2025,,52.12,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0151T0155,Roots and tubers,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2026,,52.61,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2023_2032(1.0),OECD-FAO Agricultural Outlook 2023-2032,I,ISR,Israel,A,Annual,CPC_0151T0155,Roots and tubers,EX,Exports,T,Tonnes,AO_2023_2032,Agricultural Outlook 2023-2032,2027,,52.88,,A,Normal value,3,Thousands,2,Two,,
